SMILES,label_0,label_1,label_2,label_3,label_4
Clc1ccc(cc1)N(=O)=O,0.98,1.18,0.0,0.24,1.013
COc1ccc(cc1)C(=O)C,0.92,1.58,0.0,0.53,1.2135
CC(=C=C(C)C)C,0.32,0.23,0.0,0.1,1.0089
COc1ccc(cc1)C(=O)O,0.9,1.25,0.62,0.52,1.1313
BrCc1ccc(cc1)N(=O)=O,1.27,1.42,0.0,0.36,1.2065
ClCc1ccc(cc1)N(=O)=O,0.6,0.52,0.0,0.14,1.1539
COc1ccc(cc1)N(=O)=O,0.89,1.33,0.0,0.42,1.0902
CC(c1ccc(cc1)C(C)C)C,0.62,0.47,0.0,0.2,1.5618
CC(=O)c1ccc(cc1)N(=O)=O,1.08,1.54,0.0,0.59,1.1881
OC(=O)c1ccc(cc1)C(=O)O,1.1,1.21,1.03,0.56,1.147
CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC,-0.05,0.56,0.0,0.45,4.6918
CN(c1ccc(cc1)N(=O)=O)C,1.22,2.02,0.0,0.36,1.2722
CCCCC#CCO,0.38,0.57,0.33,0.59,1.0676
CCCCCCCCCCCl,0.19,0.4,0.0,0.09,1.64
CCCCCCCCCCCCCCC(=O)O,0.05,0.65,0.62,0.45,2.2965
NC1CCCC1,0.41,0.56,0.19,0.57,0.8043
CCOc1ccc(cc1)C=O,1.0,1.15,0.0,0.54,1.2135
CCC(COC(=O)C)CC,0.07,0.57,0.0,0.47,1.3102
CCOC(=O)CCCc1ccccc1,0.65,1.24,0.0,0.59,1.6362
CCc1ccc(cc1)CC(C)C,0.61,0.5,0.0,0.19,1.5618
CCCCCCOC(=O)CC(C)C,-0.03,0.52,0.0,0.47,1.7329
CCCCCCOC(=O)C(CC)C,0.0,0.53,0.0,0.47,1.7329
O=Cc1ccc[nH]1,0.73,1.39,0.23,0.34,0.734
NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N,2.34,1.6,0.42,2.25,2.7411
CC1CCC(O1)C,0.2,0.38,0.0,0.58,0.9041
CC=C1CCCCC1,0.44,0.19,0.0,0.1,1.0842
[O-][n+]1ccc(cc1)C,0.68,1.25,0.51,0.98,0.8749
OCCN(CC)CC,0.41,0.59,0.25,0.95,1.1125
Cl[Ge](Cl)(Cl)Cl,0.46,-0.25,0.55,0.48,0.8858
BrCc1ccccc1,1.01,0.94,0.0,0.2,1.0323
C=CC1CCC=CC1,0.45,0.33,0.0,0.17,1.0412
CCc1ccccc1,0.61,0.51,0.0,0.15,0.9982
C=Cc1ccccc1,0.85,0.65,0.0,0.16,0.9552
C=Cc1ccncc1,0.83,0.94,0.0,0.58,0.9141
ClCc1ccccc1,0.82,0.86,0.0,0.14,0.9797
COc1c(C)cccc1C,0.67,0.78,0.0,0.34,1.1978
NCc1ccccc1,0.83,0.79,0.15,0.72,0.9571
N#Cc1ccccc1,0.74,1.11,0.0,0.33,0.8711
N#Cc1ccncc1,0.75,1.21,0.0,0.59,0.83
O=[Cl]=O,0.1,0.46,0.0,0.3,0.3269
OCC1CCCCC1,0.46,0.85,0.31,0.45,1.045
O=CC1CCC=CC1,0.51,0.8,0.0,0.54,0.959
OCc1ccccc1,0.8,0.87,0.33,0.56,0.916
O=Cc1ccccc1,0.82,1.0,0.0,0.39,0.873
CN(c1cc[n+](cc1)[O-])C,0.9,1.2,0.96,1.31,1.1156
SCc1ccccc1,1.01,0.75,0.08,0.39,1.0208
N#Cc1cccnc1,0.75,1.26,0.0,0.62,0.83
Cl[Hg]c1ccccc1,1.65,1.82,0.17,0.43,1.1132
CCCCCCCCCC(S)(C)C,0.29,0.28,0.0,0.3,1.9629
ClCC=CCl,0.49,0.86,0.0,0.06,0.7331
ClCC=CCl,0.51,0.86,0.0,0.06,0.7331
CNc1ccccc1,0.95,0.9,0.17,0.43,0.9571
Clc1cc(Cl)c(c(c1Cl)C)Cl,1.23,0.91,0.0,0.0,1.3469
Clc1c(C)cc(c(c1Cl)Cl)Cl,1.23,0.94,0.0,0.0,1.3469
ON=C1CCCCC1,0.58,0.9,0.33,0.61,0.9609
CCc1cccc(c1O)CC,0.86,0.85,0.39,0.39,1.3387
COc1ccccc1,0.71,0.75,0.0,0.29,0.916
CSc1ccccc1,1.07,0.92,0.0,0.26,1.0208
C=Cc1ccccn1,0.85,0.85,0.0,0.6,0.9141
N#Cc1ccccn1,0.73,1.35,0.0,0.54,0.83
CCc1ccccn1,0.61,0.7,0.0,0.59,0.9571
CCC(=O)Cc1ccccc1,0.75,1.14,0.0,0.66,1.2957
CNC(=O)Nc1ccccc1,1.08,1.4,0.7,0.8,1.2135
