SMILES,label_0,label_1,label_2,label_3,label_4
ClCCCl,0.270651943,-0.078856912,-2.770184599,-4.343277152,4.270469192
Cc1ccccc1C,0.507410444,-0.787989747,-2.870023616,-4.844710402,4.600032475
OCC(O)C,0.773010167,-1.010897924,0.658909865,-3.091435543,3.173339292
Cc1cccc(c1)C,0.361434628,-0.566237941,-2.960456399,-4.995851435,4.595312795
Cc1ccc(cc1)C,0.455820888,-0.761979494,-2.911047232,-4.921420805,4.61406495
CCCCCl,0.244676127,-0.502105106,-2.880617382,-4.946418184,4.565749511
CC(COC(C)(C)C)O,0.414055378,-0.560171524,-0.015036891,-4.41613481,4.007031153
CC(CC(C)(C)C)C,0.470172796,-1.588574928,-3.633115146,-4.902413599,4.557197494
CCCCOCCO,0.384017176,-0.623573059,-0.089261459,-4.355288288,4.206809806
OCCOCC,0.375031193,-0.378923329,0.147395893,-4.237993777,3.953750833
CCCCC(CO)CC,0.570210305,-1.242943836,-0.073556876,-3.902572973,4.136685883
OCCOC(C)C,0.377348404,-0.492757867,0.089017748,-4.469566422,4.103897287
COCCO,0.303672623,-0.087267539,0.02946828,-4.135991812,3.716514254
CCC(CO)C,0.369755343,-1.129910046,7.98e-05,-3.857850452,4.199694505
CCC(O)(C)C,0.332293372,-1.112201121,0.510887788,-4.008275187,4.270232613
OCC(C)C,0.330014018,-1.07035027,0.047657352,-3.62170549,4.078941028
CC(O)(C)C,0.144079562,-0.883419718,0.366530326,-4.145275842,4.213311473
CCCOCCO,0.412237994,-0.553029597,0.008924679,-4.342140377,4.12120146
O=C1CCCN1,0.378,0.465,1.22,-4.621,3.423
CC(OC)CCO,0.411992991,-0.593324865,0.056171324,-4.213147255,4.102529486
OCCC(C)C,0.322838064,-1.146552553,0.081691309,-3.911709092,4.272874756
CC(CC(O)C)C,0.288751839,-1.071072478,0.055165456,-4.10842408,4.289459248
CC(=O)O,0.151672623,-0.401267539,-1.04353172,-2.838991812,3.811514254
CC#N,0.02430739,0.450448609,-1.49645486,-4.508980676,3.568173641
CC(=O)c1ccccc1,0.342417453,0.053335118,-1.50719494,-4.708563147,4.045502989
Nc1ccccc1,0.342030847,-0.047308551,-1.313437257,-3.474150203,3.764384355
c1ccccc1,0.445882928,-0.545211374,-3.075088596,-4.665564785,4.561200138
N#Cc1ccccc1,0.272624254,0.08822885,-1.588666154,-4.589709747,4.075953615
OCc1ccccc1,0.346058536,-0.344394313,-0.789955702,-3.527717608,3.902899931
Brc1ccccc1,0.438168945,-0.429122582,-3.176862633,-4.553143653,4.436595758
CCCCO,0.379948473,-0.961280822,0.083784378,-4.005135137,4.125570583
CCC(O)C,0.236796703,-0.9377313,0.179385552,-3.918279772,4.17678463
CCCC#N,0.183683136,0.030219759,-1.315788706,-4.698270929,4.100220025
CCC(=O)C,0.260786536,-0.090833375,-0.667524313,-4.946844229,4.274445338
CCCCOC(=O)C,0.299127931,-0.413916107,-0.864335241,-4.146557907,4.404872112
S=C=S,0.680003504,-0.928837568,-3.595085662,-5.831426372,4.944235257
Clc1ccccc1,0.372706974,-0.501413657,-3.172054639,-4.718568387,4.646133866
C1CCCCC1,0.763713983,-1.630088792,-3.713225963,-4.974421132,4.65560438
O=C1CCCCC1,0.239175954,0.051202283,-0.878033957,-4.938996397,4.321066272
OC1CCCC1,0.479641776,-0.933958988,-0.050094464,-3.850841609,4.0561299
O=C1CCCC1,0.38804136,-0.205821254,-0.768694243,-4.44942932,4.313090125
C=CCCCCCCC=C,0.444396773,-1.832254255,-2.879847819,-4.024848487,4.473457926
CCCCCCCCCCO,0.623399931,-1.336477044,0.01623337,-4.136431285,4.250326704
CCCCCCCCCC,0.704055378,-1.698171524,-3.417036891,-4.54513481,4.574031153
CCCCOCCCC,0.343100242,-0.892830345,-1.453816796,-5.483990502,4.608356535
CCCCNC(=O)CCCC,0.259641776,-0.335958988,0.413905536,-4.996841609,4.1161299
ClCCl,0.061300381,-0.090876256,-3.004283536,-4.181127932,4.481703127
CCOC(=O)OCC,0.118031193,-0.268923329,-1.509604107,-4.853993777,4.463750833
CCOCC,0.358896946,-0.714561644,-0.401431244,-5.053270274,4.483141166
OCCOCCO,0.592248161,-0.173927522,0.121834544,-3.69057592,3.024540752
CC(OC(C)C)C,0.261907113,-0.899459569,-0.925521379,-5.128705817,4.631480457
COC(=O)CCCCC(=O)OC,0.529669118,-0.365429971,-0.979446058,-4.51756544,4.050278998
COC(=O)OC,0.094455309,-0.048648568,-1.385803521,-4.610566095,4.219357857
CS(=O)C,0.351751492,0.7325423,1.227332307,-4.484580505,3.265092769
CC(C(=O)N)C,0.118575538,0.127340017,0.869366264,-4.925584108,4.423026497
O1CCOCC1,0.337496669,-0.053469822,-0.539497763,-4.853995415,4.220447983
CCCCCCCCCCCC,0.653455309,-1.609648568,-3.525803521,-5.038566095,4.515357857
CCO,0.442676127,-0.968105106,0.363382618,-3.659418184,3.966749511
CCOC(=O)C,0.272152116,-0.249164301,-0.791768024,-4.992698939,4.304152431
CCc1ccccc1,0.455134594,-0.694976463,-2.985339714,-4.870567077,4.559976147
OCCO,0.612447953,-0.592358655,0.669534654,-2.541869776,2.595520865
Fc1ccccc1,0.134265683,-0.332115359,-3.006593766,-4.640707782,4.608717036
NC=O,0.091817037,0.256472852,0.560205281,-3.103150858,2.347463214
CCCCCCCO,0.393534525,-1.052453508,0.007893656,-4.351998362,4.334302851
CCCCCCC,0.596107251,-1.66550548,-3.52098812,-5.030843247,4.634827049
CCCCCCCCCCCCCCC=C,0.691200139,-1.581045911,-3.16146674,-4.82913743,4.379346592
CCCCCCCCCCCCCCCC,0.655900104,-1.590784434,-3.572350055,-4.893853072,4.476009944
CCCCCCO,0.477327724,-1.12934724,0.07336487,-4.010851762,4.187852224
CCCCCC,0.517514191,-1.609657659,-3.521926074,-5.034127277,4.627624267
Ic1ccccc1,0.322496322,-0.365855043,-3.245330913,-4.59815184,4.493081504
CC(COC(=O)C)C,0.338545038,-0.47696621,-1.10136333,-5.14227748,4.468008622
CCCCCC(C)C,0.514427966,-1.641177585,-3.623451926,-4.954842264,4.57420876
CC(OC(=O)C)C,0.274831401,-0.388492196,-0.900304218,-4.866699922,4.310770721
CCCCCCCCCCCCCC(=O)OC(C)C,1.007188933,-1.335303652,-1.783876053,-3.920171164,3.940907863
CO,0.298786536,-0.630833375,0.289475687,-3.398844229,3.685445338
COc1ccccc1,0.406941464,-0.295605687,-2.526044298,-4.499282392,4.313100069
COC(=O)C,0.178217661,-0.044233749,-0.97589505,-4.627269292,4.145522876
CCCC(=O)OC,0.337634767,-0.466283853,-0.99092314,-4.690988864,4.370659386
COC(C)(C)C,0.216028035,-0.67470054,-1.014685296,-5.137410979,4.595882055
CC1CCCCC1,0.750614087,-1.907873226,-3.475576018,-4.363274204,4.649614323
CCCCN(C=O)CCCC,0.259641776,-0.335958988,0.413905536,-4.996841609,4.1161299
CCN(C(=O)C)CC,0.006824392,0.153182939,1.377867106,-5.144847177,4.193300207
CC(=O)N(C)C,0.118575538,0.127340017,0.869366264,-4.925584108,4.423026497
O=CN(C)C,-0.019086571,0.251094853,0.306640998,-4.777871413,4.335218014
CCNC(=O)C,0.091765856,-0.356422749,1.227822808,-4.809129569,3.996400276
CCNC=O,0.005931297,-0.099707763,0.972045837,-4.651846849,3.838760777
O=CN1CCOCC1,0.70008272,-0.071642507,0.008611515,-4.08285864,3.389180251
[O-][N+](=O)c1ccccc1,0.544392922,0.035198091,-2.357595306,-4.45057854,4.11185619
[O-][N+](=O)C,-0.093934455,0.799930552,-1.459127026,-4.370570352,3.471370445
CN1CCCCC1=O,0.324855239,0.273874388,1.565429849,-5.05099738,4.010684561
CNC(=O)C,0.193517349,-0.144880448,1.320155115,-4.614710075,3.877493045
CNC=O,0.392455309,-0.252648568,0.561196479,-4.117566095,3.527357857
O=C1CCCN1C,0.513245003,0.269295267,0.864753355,-4.835993122,4.446671974
CCCCCCCCC,0.588379597,-1.640681196,-3.491586359,-4.989560199,4.60064812
CCCCCCCC/C=C\CCCCCCCCO,0.160248161,-0.869927522,-0.454165456,-4.01257592,4.077540752
CCCCCCCCO,0.49333789,-1.054245164,-0.029725266,-4.225287305,4.201191516
CCCCCCCC,0.659252012,-1.696379868,-3.504417969,-5.079845867,4.630142488
[O-][N+](=O)c1ccccc1CCCCCCCCOCCCCCCCCc1ccccc1[N+](=O)[O-],0.584562213,-0.42253927,-2.225624789,-3.913565767,3.633818427
CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,0.641766203,-0.854037527,-1.199344043,-4.675973144,3.729766755
CCCCCO,0.516862248,-1.183800747,0.166258525,-3.906850125,4.151155075
CCCC(O)C,-0.345834559,0.521714986,3.761223029,1.07328272,0.904360501
CCCCC,0.33892113,-1.456809839,-3.472864027,-5.320411307,4.696421485
CCCCCOC(=O)C,0.237779528,-0.41915824,-0.986352989,-5.003991485,4.477974825
CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC)C,0.468338237,-0.750859942,-0.978892117,-4.713130879,4.159557995
CCCO,0.387265683,-0.987115359,0.270406234,-3.806707782,4.054717036
CC(O)C,0.331369084,-1.019168493,0.422670627,-3.855281082,4.08194235
CCC#N,0.14245215,0.168574221,-1.454884709,-4.640983297,3.936489079
CC(=O)C,0.272065891,-0.026684226,-0.555293877,-4.842413927,4.096736924
CCCOC(=O)C,0.233814225,-0.280919137,-0.914042759,-5.031411634,4.361960915
CC1COC(=O)O1,0.16748966,0.505205313,-1.282326439,-4.40814267,3.422977469
c1cccnc1,0.303868911,-0.013861104,0.550254052,-4.490859295,4.26925911
O=S1(=O)CCCC1,0.147,0.601,-0.318,-4.541,3.29
CC(=O)OC(C)(C)C,0.265821234,-0.523594272,-0.991214083,-4.810264379,4.326431429
ClC(Cl)(Cl)Cl,0.497610582,-1.099035658,-3.526490356,-4.650847832,4.716379067
C1CCCO1,0.345589902,-0.329625032,-0.201143235,-4.993133172,4.549334004
Cc1ccccc1,0.415051873,-0.606333956,-2.980951229,-4.783708437,4.585795896
OCCOCCOCC,0.71508272,-0.550642507,0.270611515,-4.13685864,3.746180251
CCCCOP(=O)(OCCCC)OCCCC,0.404110409,-0.457728269,0.261093069,-4.825426045,4.207695827
ClC(Cl)Cl,0.080631263,-0.345446285,-3.079837478,-3.568562492,4.489424129
OCCOCCOCCO,0.510058536,0.052605687,0.145044298,-3.936717608,3.070899931
FCC(F)(F)O,-0.14439608,-0.474975302,-1.213485883,-1.386838661,3.283275032
CCCCCCCCCCC,0.595600069,-1.643522956,-3.41123337,-5.136568715,4.647673296
